run_name,seed,model_id,n_layer,n_head,n_embd,batch_size,n_params,checkpoint_idx,checkpoint_tokens_target,train_tokens_real,val_loss,val_ppl,mu_landscape,flops_estimate,d_over_n,dataset_name,dataset_config,tokenizer_name
tail_s0_L6_H4_E112_B128_T25000000,0,L6_H4_E112,6,4,112,128,6555248,4,25000000,25001984,6.439591336250305,626.1508623595848,0.23549176380038261,983365233672192.0,3.814040902800321,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L6_H4_E112_B128_T30000000,0,L6_H4_E112,6,4,112,128,6555248,5,30000000,30015488,6.368711066246033,583.3055019952898,0.24773730896413326,1180553806086144.0,4.5788485805571355,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L6_H4_E112_B128_T36000000,0,L6_H4_E112,6,4,112,128,6555248,6,36000000,36012032,6.252143812179566,519.1245380976524,0.26652076095342636,1416406804463616.0,5.493618548070187,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L6_H4_E112_B128_T42000000,0,L6_H4_E112,6,4,112,128,6555248,7,42000000,42008576,6.172164750099182,479.22238074299736,0.3135828524827957,1652259802841088.0,6.40838851558324,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L6_H4_E112_B128_T50000000,0,L6_H4_E112,6,4,112,128,6555248,8,50000000,50003968,6.110489869117737,450.55937623981254,0.37125086039304733,1966730467344384.0,7.628081805600642,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L7_H4_E128_B128_T12000000,0,L7_H4_E128,7,4,128,128,7837440,1,12000000,12009472,6.70789225101471,818.8429039739534,0.15226029511541128,564741097390080.0,1.5323207577984648,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L7_H4_E128_B128_T16000000,0,L7_H4_E128,7,4,128,128,7837440,2,16000000,16007168,6.595517563819885,731.8075458005142,0.18073897808790207,752731312619520.0,2.0423975175567533,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L7_H4_E128_B128_T20000000,0,L7_H4_E128,7,4,128,128,7837440,3,20000000,20004864,6.4763078689575195,649.5682224167737,0.28528690338134766,940721527848960.0,2.5524742773150417,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L7_H4_E128_B128_T25000000,0,L7_H4_E128,7,4,128,128,7837440,4,25000000,25001984,6.3668763637542725,582.2362910792128,0.1851189248263836,1175709296885760.0,3.190070227012902,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L7_H4_E128_B128_T30000000,0,L7_H4_E128,7,4,128,128,7837440,5,30000000,30015488,6.271084356307983,529.0507464677573,0.24685643799602985,1411467517624320.0,3.829756655234362,wikitext,wikitext-103-raw-v1,gpt2
