run_name,seed,model_id,n_layer,n_head,n_embd,batch_size,n_params,checkpoint_idx,checkpoint_tokens_target,train_tokens_real,val_loss,val_ppl,mu_landscape,flops_estimate,d_over_n,dataset_name,dataset_config,tokenizer_name
s0_L2_H2_E64_B128_T2229000,0,L2_H2_E64,2,2,64,128,3324736,15,2229000,2244608,8.201932144165038,3647.991948766423,0.009308663487900048,44776374140928.0,0.6751236789928584,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T3121000,0,L2_H2_E64,2,2,64,128,3324736,16,3121000,3129344,7.708122897148132,2226.3592281686447,0.009409964724909514,62425455919104.0,0.9412308225374887,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T4370000,0,L2_H2_E64,2,2,64,128,3324736,17,4370000,4374528,7.455962824821472,1730.1490239984623,0.015212728991173208,87264904347648.0,1.3157519875262276,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T6120000,0,L2_H2_E64,2,2,64,128,3324736,18,6120000,6127616,7.369156765937805,1586.2956004401633,0.07213773671537638,122236233056256.0,1.843038364549847,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T8570000,0,L2_H2_E64,2,2,64,128,3324736,19,8570000,8585216,7.275237512588501,1444.094141956665,0.102100376971066,171261460217856.0,2.5822248743960423,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T12000000,0,L2_H2_E64,2,2,64,128,3324736,20,12000000,12009472,7.109088826179504,1223.0326429077475,0.15498865768313408,239569943396352.0,3.6121580781150744,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T20000,0,L2_H2_E80,2,2,80,128,4186640,1,20000,32768,10.752114915847779,46728.751398245324,0.08887280523777008,823126917120.0,0.007826801444595188,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T28000,0,L2_H2_E80,2,2,80,128,4186640,2,28000,32768,10.752647161483765,46753.629192213455,0.08214242942631245,823126917120.0,0.007826801444595188,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T39000,0,L2_H2_E80,2,2,80,128,4186640,3,39000,49152,10.708705377578735,44743.67520794201,0.06479622051119804,1234690375680.0,0.011740202166892783,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T55000,0,L2_H2_E80,2,2,80,128,4186640,4,55000,65536,10.669831323623658,43037.681445487404,0.04875806299969554,1646253834240.0,0.015653602889190377,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T77000,0,L2_H2_E80,2,2,80,128,4186640,5,77000,81920,10.636801528930665,41639.37566292187,0.03986067743971944,2057817292800.0,0.01956700361148797,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T108000,0,L2_H2_E80,2,2,80,128,4186640,6,108000,114688,10.577476406097412,39240.96109425647,0.029339534230530262,2880944209920.0,0.02739380505608316,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T151000,0,L2_H2_E80,2,2,80,128,4186640,7,151000,163840,10.494009923934936,36098.62027043115,0.02177581423893571,4115634585600.0,0.03913400722297594,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T211000,0,L2_H2_E80,2,2,80,128,4186640,8,211000,212992,10.408289909362793,33133.16121891103,0.017702364828437567,5350324961280.0,0.050874209389868724,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T296000,0,L2_H2_E80,2,2,80,128,4186640,9,296000,311296,10.232793855667115,27800.071056567955,0.012267414364032447,7819705712640.0,0.07435461372365429,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T414000,0,L2_H2_E80,2,2,80,128,4186640,10,414000,425984,10.030048370361328,22698.36944700918,0.010886403848417103,10700649922560.0,0.10174841877973745,wikitext,wikitext-103-raw-v1,gpt2
