run_name,seed,model_id,n_layer,n_head,n_embd,batch_size,n_params,checkpoint_idx,checkpoint_tokens_target,train_tokens_real,val_loss,val_ppl,mu_landscape,flops_estimate,d_over_n,dataset_name,dataset_config,tokenizer_name
few_s0_L5_H2_E96_B128_T92000,0,L5_H2_E96,5,2,96,128,5396352,7,92000,98304,10.83201847076416,50615.770200715095,0.18505812995135784,3182897922048.0,0.018216750871699994,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T119000,0,L5_H2_E96,5,2,96,128,5396352,8,119000,131072,10.825846004486085,50304.308298929,0.17766024731099606,4243863896064.0,0.024289001162266656,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T154000,0,L5_H2_E96,5,2,96,128,5396352,9,154000,163840,10.816802024841309,49851.408255039634,0.17433186806738377,5304829870080.0,0.030361251452833322,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T198000,0,L5_H2_E96,5,2,96,128,5396352,10,198000,212992,10.799676036834716,49004.92277462188,0.18070900067687035,6896278831104.0,0.039469626888683315,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T256000,0,L5_H2_E96,5,2,96,128,5396352,11,256000,262144,10.779622316360474,48031.979919135556,0.16633991338312626,8487727792128.0,0.04857800232453331,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T330000,0,L5_H2_E96,5,2,96,128,5396352,12,330000,344064,10.739136552810669,46126.20717475083,0.11841940600425005,11140142727168.0,0.06375862805094998,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T426000,0,L5_H2_E96,5,2,96,128,5396352,13,426000,442368,10.69135046005249,43973.85184738395,0.09755388461053371,14323040649216.0,0.08197537892264997,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T550000,0,L5_H2_E96,5,2,96,128,5396352,14,550000,557056,10.643648433685303,41925.4547626854,0.0660772598348558,18036421558272.0,0.1032282549396333,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T710000,0,L5_H2_E96,5,2,96,128,5396352,15,710000,720896,10.57816195487976,39267.87191063756,0.04799944628030062,23341251428352.0,0.1335895063924666,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T916000,0,L5_H2_E96,5,2,96,128,5396352,16,916000,917504,10.4909743309021,35989.20570331172,0.03241117671132088,29707047272448.0,0.1700230081358666,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T1182000,0,L5_H2_E96,5,2,96,128,5396352,17,1182000,1196032,10.335162258148193,30796.68268560356,0.027201612712815404,38725258051584.0,0.22163713560568324,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T1525000,0,L5_H2_E96,5,2,96,128,5396352,18,1525000,1540096,10.087700462341308,24045.435425939886,0.02183387242257595,49865400778752.0,0.2853957636566332,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T1968000,0,L5_H2_E96,5,2,96,128,5396352,19,1968000,1982464,9.696489715576172,16260.428171670652,0.024273731280118227,64188441427968.0,0.3673711425792832,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T2539000,0,L5_H2_E96,5,2,96,128,5396352,20,2539000,2539520,9.1342933177948,9267.72597007504,0.02035657549276948,82224862986240.0,0.4705993975189165,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T3276000,0,L5_H2_E96,5,2,96,128,5396352,21,3276000,3276800,8.40201668739319,4456.044140401347,0.017865488305687904,106096597401600.0,0.6072250290566664,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T4227000,0,L5_H2_E96,5,2,96,128,5396352,22,4227000,4227072,7.655988025665283,2113.2620452555398,0.020365909673273563,136864610648064.0,0.7833202874830997,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T5455000,0,L5_H2_E96,5,2,96,128,5396352,23,5455000,5455872,7.400481867790222,1636.7729481635422,0.05805966863408685,176650834673664.0,1.0110296733793496,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T7039000,0,L5_H2_E96,5,2,96,128,5396352,24,7039000,7045120,7.286863827705384,1460.9816148254738,0.09000873658806086,228107684413440.0,1.3055338124718328,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T9083000,0,L5_H2_E96,5,2,96,128,5396352,25,9083000,9093120,7.126092386245728,1244.0063605218345,0.14064990170300007,294418057789440.0,1.6850494556322493,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T11720000,0,L5_H2_E96,5,2,96,128,5396352,26,11720000,11730944,6.952172470092774,1045.4184031890882,0.173673864454031,379825818697728.0,2.1738656040228657,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T15123000,0,L5_H2_E96,5,2,96,128,5396352,27,15123000,15138816,6.811367654800415,908.111941688534,0.24313323572278023,490166279995392.0,2.805379634241799,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T19515000,0,L5_H2_E96,5,2,96,128,5396352,28,19515000,19529728,6.6897784948349,804.1441103411198,0.2140554040670395,632335720513536.0,3.619061173177732,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T25181000,0,L5_H2_E96,5,2,96,128,5396352,29,25181000,25182208,6.555248975753784,702.9241391053907,0.32577812299132347,815352351031296.0,4.666524348300482,wikitext,wikitext-103-raw-v1,gpt2
